,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
0,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3.9391929857916788,-2.2742941307367115,2.894703844062045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-3.939192985791677,-2.274294130736712,2.894703844062046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-5.2176339564648865e-17,4.5485882614734185,2.894703844062049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-5.2176339564648865e-17,2.2247093320864645e-16,-0.32163376045133846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
